========================================================================================================================
  МУЛЬТИВАЛЮТНЫЙ МУЛЬТИТАЙМФРЕЙМ-АНАЛИЗ
  Биржа: binance | 442 монет | 2026-07-05 11:50:57
========================================================================================================================

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Монета           5м    15м    30м     1ч     4ч     1д  Средняя Стакан  ИТОГО
  ALLOUSDT     🔴38.1 🟠43.2 🟠45.4 🟠48.5 🟢57.8 🟢54.3    +0.0      ⚪      ⚪
  ALPINEUSDT   🟡62.9 🟡52.7 🔴46.1 🟠44.4 🟢52.2 🔴42.8    +1.0      ⚪      ⚪
  ALTUSDT      🟠43.9 🟠47.6 🟠49.5 🟢53.1 🟢64.2 🟡56.6    +0.8      ⚪      ⚪
  AMDBUSDT     🔴41.0 🟠45.9 🟠48.4 🟢52.4 🔴48.8     --    +0.0      ⚪      ⚪
  AMPUSDT      🟡50.9 🔴47.6 🔴42.1 🟠43.7 🔴50.1 🔴26.4    +0.2      ⚪      ⚪
  ANIMEUSDT    🟢59.9 🟡54.1 🟡48.8 🟠47.7 🟢54.2 🔴43.1    +2.2      ⚪      🟢
  ANKRUSDT     🟡54.1 🔴46.9 🔴44.1 🟠45.6 🟢57.9 🟡47.3    +0.8      🟢      ⚪
  APEUSDT      🟡49.6 🔴40.3 🔴39.1 🟠40.4 🟠48.9 🟢54.8    +0.3      ⚪      ⚪
  API3USDT     🟢63.8 🟡53.7 🔴43.9 🟠42.8 🟢52.8 🔴39.4    +1.0      ⚪      ⚪
  APTUSDT      🟢60.4 🟡53.8 🔴46.2 🟠43.7 🟢53.2 🔴42.2    +1.2      ⚪      ⚪
  ARBUSDT      🟡61.8 🟡51.0 🔴43.2 🟠41.4 🟠50.5 🔴42.6    +0.5      ⚪      ⚪
  ARDRUSDT     🔴46.1 🔴45.0 🔴44.9 🔴45.1 🔴48.1 🔴33.9    -1.8      🔴      🔴
  ARKMUSDT     🟢56.8 🟡51.0 🔴46.9 🟠45.1 🟢51.9 🔴46.5    +1.3      ⚪      ⚪
  ARKUSDT      🟢51.9 🟡48.3 🔴43.2 🟠44.3 🟢52.7 🔴41.9    +1.3      ⚪      ⚪
  ARPAUSDT     🔴39.0 🔴26.9 🔴28.9 🟠33.3 🟠48.6 🟡54.2    -0.5      ⚪      🔴
  ARUSDT       🔴48.2 🔴40.8 🔴35.5 🟠40.1 🟠51.7 🟡51.8    -0.3      🟢      🔴
  ASRUSDT      🔴39.5 🟠43.3 🟠46.4 🟠52.3 🟢58.1 🔴44.0    -0.3      ⚪      🔴
  ASTERUSDT    🟢57.1 🟡54.8 🟡49.4 🔴46.5 🟢52.8 🟡50.3    +2.2      ⚪      🟢
  ASTRUSDT     🟢76.9 🟡57.4 🟡49.7 🟠49.0 🟢57.8 🔴41.1    +1.3      🟢      ⚪
  ATMUSDT      🔴44.0 🔴32.7 🔴27.2 🔴23.7 🟠34.0 🟢58.4    -0.5      ⚪      🔴
  ATOMUSDT     🔴45.7 🔴37.6 🔴29.4 🔴28.9 🔴43.9 🔴36.2    -1.3      🟢      🔴
  ATUSDT       🟢51.8 🔴46.3 🔴40.9 🟠42.9 🟢54.2 🟢55.8    +1.5      ⚪      ⚪
  AUCTIONUSDT  🔴50.0 🔴47.1 🔴42.5 🟠42.0 🔴50.5 🔴38.2    -0.7      🟢      🔴
  AUDIOUSDT    🟡53.2 🟡48.8 🔴44.1 🟠43.7 🟠50.3 🔴35.6    +0.5      🔴      ⚪
  AUSDT        🟢58.6 🟢62.5 🟢67.4 🟢77.1 🟢80.8 🟡64.7    +2.3      🟢      🟢
  AVAUSDT      🔴44.6 🔴41.5 🟠42.0 🟠48.3 🟢58.0 🔴47.3    +0.3      🟢      ⚪
  AVAXUSDT     🟡55.9 🔴46.1 🔴38.9 🟠39.6 🟠50.4 🟡49.1    +0.0      ⚪      ⚪
  AVNTUSDT     🟢63.5 🟡54.2 🔴48.2 🟠46.1 🟢51.4 🔴41.2    +1.2      🟢      ⚪
  AWEUSDT      🔴38.2 🔴33.4 🔴33.7 🟠40.1 🟢54.4 🟢51.0    -0.7      🟢      🔴
  AXLUSDT      🟡53.6 🔴47.0 🔴43.0 🟠42.1 🟢53.5 🔴46.6    +0.3      ⚪      ⚪
  AXSUSDT      🔴39.2 🔴41.2 🔴35.0 🔴33.6 🟠48.0 🟡49.5    -0.8      🟢      🔴
  BABYUSDT     🔴47.8 🔴39.9 🔴39.0 🔴40.4 🟠48.0 🔴46.8    -1.2      ⚪      🔴
  BANANAS31USDT 🟢60.9 🟢57.7 🟢54.9 🟢55.8 🟢56.2 🔴45.9    +2.8      ⚪      🟢
  BANANAUSDT   🟢54.9 🟡54.6 🟡51.1 🟢50.9 🟢61.9 🟡55.2    +2.7      ⚪      🟢
  BANDUSDT     🟢58.1 🟡52.1 🟠49.2 🟢51.7 🟢62.1 🟡50.5    +2.7      ⚪      🟢
  BANKUSDT     🟠42.7 🟠50.3 🟢52.5 🟢52.7 🟢51.4 🟢50.0    +2.0      ⚪      🟢
  BARDUSDT     🟡56.6 🟡50.6 🔴43.9 🔴40.1 🔴44.6 🔴34.2    +0.2      🟢      ⚪
  BARUSDT      🟢57.6 🟢63.0 🟢58.0 🟢56.3 🟡54.0 🔴41.5    +2.7      ⚪      🟢
  BATUSDT      🟢64.9 🟡54.9 🟢52.6 🟢55.5 🟢61.6 🔴47.1    +2.2      ⚪      🟢
  BBUSDT       🔴46.9 🔴45.5 🔴36.6 🔴36.6 🟠47.8 🔴41.7    -1.2      ⚪      🔴
  BCHUSDT      🟢64.3 🟢63.2 🟢66.0 🟢72.4 🟢80.3 🟡60.0    +2.3      ⚪      🟢
  BEAMXUSDT    🟢53.4 🟢52.0 🟢52.6 🟢56.7 🟢65.0 🟡60.4    +2.8      ⚪      🟢
  BELUSDT      🟢52.3 🟢58.3 🟡55.7 🟢52.2 🔴48.1 🟠45.8    +2.0      ⚪      🟢
  BERAUSDT     🔴47.8 🔴43.7 🔴37.6 🔴32.4 🔴43.1 🔴36.6    -1.5      ⚪      🔴
  BFUSDUSDT    🟢66.8 🟡56.5 🟡56.6 🟡52.8 🔴48.0 🔴46.0    +1.3      🔴      ⚪
  BICOUSDT     🟡62.4 🟡51.1 🔴45.5 🟠45.6 🔴43.2 🔴42.0    +0.3      🟢      ⚪
  BIGTIMEUSDT  🟡52.4 🔴45.4 🔴39.2 🟠38.7 🔴48.7 🔴36.2    -0.8      ⚪      🔴
  BIOUSDT      🟡59.8 🟡50.3 🔴42.7 🔴40.2 🟠50.0 🔴48.0    +0.5      ⚪      ⚪
  BLURUSDT     🟡51.3 🔴43.6 🔴37.9 🔴35.0 🟠49.6 🔴40.6    -0.3      ⚪      🔴
  BMTUSDT      🟡53.5 🔴47.2 🔴44.2 🟠46.3 🟢56.4 🟡49.1    +0.8      ⚪      ⚪
  BNBUSDT      🟢73.9 🟡68.7 🟢62.6 🟢58.1 🟢61.2 🔴47.5    +1.8      ⚪      ⚪
  BNSOLUSDT    🟢61.8 🟡50.2 🔴42.1 🟠38.8 🟢55.7 🟡62.0    +1.3      ⚪      ⚪
  BNTUSDT      🟢78.0 🟡60.0 🟢54.5 🟢54.1 🟢60.8 🟡51.2    +2.7      🔴      🟢
  BOMEUSDT     🟡58.1 🔴46.8 🔴38.3 🔴37.2 🟠48.6 🟡48.5    +0.2      🟢      ⚪
  BONKUSDT     🔴45.3 🔴45.2 🟠46.2 🟠49.9 🟢61.3 🟡57.9    +0.3      🟢      ⚪
  BREVUSDT     🟠46.4 🟢53.7 🟢61.3 🟢64.9 🟢61.9 🟡55.3    +2.2      🟢      🟢
  BROCCOLI714USDT 🟢53.3 🔴48.2 🔴43.6 🟠46.4 🟢55.9 🟡50.5    +1.3      ⚪      ⚪
  BTCUSDT      🟢69.2 🟡60.2 🟢56.6 🟢57.4 🟢64.9 🟡49.4    +2.8      🟢      🟢
  BTTCUSDT     🟢52.8 🟡51.8 🟢51.1 🟢51.6 🟢52.8 🟡48.5    +3.0      🟢      🟢
  C98USDT      🟢53.6 🟡51.4 🔴47.0 🟠44.3 🟢52.3 🔴42.3    +1.3      🔴      ⚪
  CAKEUSDT     🟡56.4 🟡49.6 🔴44.2 🟠43.7 🟢53.1 🟡53.3    +1.7      🟢      ⚪
  CATIUSDT     🟡53.5 🔴36.9 🔴27.8 🔴25.5 🔴31.3 🟠38.4    -0.8      🟢      🔴
  CELOUSDT     🟢58.1 🟡55.8 🟡51.9 🟢51.4 🟢53.1 🟡50.5    +3.2      ⚪      🟢
  CELRUSDT     🟡60.6 🟡47.7 🔴39.3 🔴36.5 🔴45.0 🔴39.1    -0.7      🔴      🔴
  CETUSUSDT    🟢60.7 🟡53.3 🔴45.3 🟠43.1 🟢52.6 🟡48.4    +1.7      ⚪      ⚪
  CFGUSDT      🟢66.6 🟢64.9 🟢63.3 🟢58.9 🟡53.8 🔴43.7    +2.7      ⚪      🟢
  CFXUSDT      🔴49.3 🔴42.8 🔴36.7 🔴34.2 🟠48.6 🔴45.1    -1.2      🟢      🔴
  CGPTUSDT     🔴48.7 🔴44.1 🔴40.1 🟠42.7 🟢55.2 🔴46.5    -0.2      ⚪      🔴
  CHIPUSDT     🟡51.8 🔴45.9 🔴38.0 🟠36.2 🟠47.4 🔴42.7    -0.2      ⚪      🔴
  CHRUSDT      🟢60.4 🟡51.7 🔴45.7 🔴41.3 🟠48.5 🔴45.5    +0.5      ⚪      ⚪
  CHZUSDT      🟢63.5 🟡60.6 🟡57.1 🟢53.1 🟡53.0 🔴32.8    +1.7      🟢      ⚪
  CITYUSDT     🟢51.7 🟢52.4 🟢52.6 🟡53.2 🟡49.8 🔴45.3    +2.3      ⚪      🟢
  CKBUSDT      🟢68.4 🟡59.6 🟡52.2 🟢50.7 🟡55.6 🔴38.5    +2.2      🟢      🟢
  COMPUSDT     🟡60.5 🟡50.0 🔴43.6 🟠44.2 🟢57.7 🟡48.9    +1.2      ⚪      ⚪
  COOKIEUSDT   🟢52.3 🟡54.1 🟡51.9 🟢50.9 🟢55.3 🟡51.2    +2.5      🔴      🟢
  COTIUSDT     🔴37.2 🔴27.6 🔴27.7 🟠32.7 🟠49.3 🔴40.1    -1.0      ⚪      🔴
  COWUSDT      🟡51.2 🔴42.0 🔴38.7 🟠39.4 🟠48.3 🔴44.9    -0.5      🔴      🔴
  CRCLBUSDT    🟢67.6 🟢65.8 🟢66.1 🟢66.7 🟡55.7     --    +3.0      🟢      🟢
  CRVUSDT      🟡52.9 🔴46.6 🟠45.3 🟠48.4 🟢58.5 🟡51.2    +1.0      🟢      ⚪
  CTKUSDT      🟡50.5 🔴42.2 🔴39.5 🟠40.3 🟢51.9 🔴40.4    +0.2      ⚪      ⚪
  CTSIUSDT     🔴44.6 🔴44.8 🟠46.9 🟠49.0 🟢58.0 🟡49.8    +0.2      ⚪      ⚪
  CUSDT        🟢52.5 🟡50.8 🔴46.8 🔴44.9 🔴41.7 🔴35.6    +0.3      ⚪      ⚪
  CVCUSDT      🟡55.8 🔴43.0 🔴36.2 🟠36.5 🟢52.3 🔴43.7    +0.0      ⚪      ⚪
  CVXUSDT      🟡61.1 🟡50.2 🔴46.0 🟠48.3 🟢63.6 🟡47.1    +1.0      🟢      ⚪
  CYBERUSDT    🟢77.2 🟢71.6 🟢71.1 🟢71.7 🟢71.3 🟡55.7    +1.3      ⚪      ⚪
  DASHUSDT     🟢64.6 🟡54.5 🔴47.8 🟠45.5 🟢54.9 🟡49.8    +1.7      ⚪      ⚪
  DCRUSDT      🔴47.3 🔴44.0 🔴33.2 🔴32.1 🔴42.0 🔴39.5    -1.2      ⚪      🔴
  DEXEUSDT     🟢59.4 🟢64.0 🟢62.0 🟢60.8 🟢58.8 🟢61.2    +3.0      ⚪      🟢
  DGBUSDT      🟡51.4 🔴39.9 🟠36.6 🟠45.1 🟢55.6 🔴46.5    +0.5      🔴      ⚪
  DIAUSDT      🔴49.4 🔴43.3 🔴39.9 🟠39.2 🟠51.1 🔴38.8    -1.2      🔴      🔴
  DODOUSDT     🟢52.2 🟡53.7 🟡51.3 🔴46.8 🟠42.6 🟢53.6    +2.2      ⚪      🟢
  DOGEUSDT     🟡55.9 🔴44.4 🔴37.4 🟠39.6 🟢52.2 🔴38.4    -0.2      ⚪      🔴
  DOGSUSDT     🟢63.7 🟡58.1 🟡51.8 🟢52.1 🟢60.0 🟡58.7    +3.0      🟢      🟢
  DOLOUSDT     🟢56.0 🟡50.7 🔴46.3 🟠44.9 🟢52.5 🔴46.9    +1.3      🟢      ⚪
  DOTUSDT      🟡53.5 🟡48.0 🔴43.0 🟠43.6 🟢54.3 🔴39.7    +0.7      🟢      ⚪
  DUSKUSDT     🟡50.5 🔴44.1 🔴38.3 🔴35.8 🟠46.6 🔴38.2    -0.8      ⚪      🔴
  DYDXUSDT     🔴43.4 🔴42.9 🔴42.2 🔴43.6 🔴38.0 🔴44.4    -1.5      ⚪      🔴
  DYMUSDT      🟠47.6 🔴49.1 🟠48.8 🟠50.5 🟢56.1 🟡48.8    +1.3      ⚪      ⚪
  EDENUSDT     🟢57.4 🟡51.7 🔴44.3 🔴41.9 🔴46.3 🔴46.1    +0.2      ⚪      ⚪
  EDUUSDT      🟡55.5 🔴46.6 🔴41.9 🟠40.9 🟠48.6 🔴46.7    -0.2      ⚪      🔴
  EGLDUSDT     🟡53.0 🔴42.8 🔴38.7 🟠41.8 🟠51.6 🔴42.6    -0.3      🟢      🔴
  EIGENUSDT    🟢77.0 🟢60.4 🟢58.2 🟢61.4 🟢63.9 🟢55.2    +2.0      ⚪      🟢
  ENAUSDT      🟢58.0 🟡54.1 🔴47.0 🟠45.9 🟡52.0 🔴43.9    +1.2      ⚪      ⚪
  ENJUSDT      🟡55.8 🟡47.1 🔴40.1 🟠39.3 🟠50.1 🔴41.9    +0.5      ⚪      ⚪
  ENSOUSDT     🟠44.8 🔴49.5 🔴47.3 🟠48.3 🟢54.8 🟡52.2    +0.5      ⚪      ⚪
  ENSUSDT      🟢61.0 🟡53.4 🔴47.3 🟠45.2 🟢52.9 🔴38.8    +1.0      ⚪      ⚪
  EPICUSDT     🔴31.5 🔴23.3 🔴17.4 🟠26.6 🟠45.9 🟢52.2    +0.0      ⚪      ⚪
  ERAUSDT      🔴21.3 🔴18.1 🔴22.9 🟠29.8 🟠48.3 🔴40.0    -0.7      🔴      🔴
  ESPUSDT      🔴47.5 🔴31.2 🔴29.4 🔴36.4 🟠47.2 🟡50.8    -0.5      🔴      🔴
  ETCUSDT      🟡50.4 🔴39.1 🔴34.1 🔴34.3 🟠46.1 🔴44.5    -0.8      🟢      🔴
  ETHFIUSDT    🟠51.9 🟢54.8 🟢55.8 🟢58.5 🟢69.7 🟡66.6    +2.3      ⚪      🟢
  ETHUSDT      🟢57.3 🟡52.1 🟠48.0 🟠50.9 🟢66.1 🟡55.7    +1.8      🔴      ⚪
  EULUSDT      🟢67.0 🟢62.6 🟢61.1 🟢58.1 🟢60.0 🟡53.0    +3.0      ⚪      🟢
  EURIUSDT     🟢64.0 🟢54.9 🟢53.7 🟢52.6 🟢56.8 🟡50.4    +3.0      🟢      🟢
  EURUSDT      🔴42.7 🔴45.9 🔴46.3 🔴44.0 🟢52.4 🔴43.8    -0.7      ⚪      🔴
  EWYBUSDT     🟢52.6 🟢55.0 🟢59.4 🟢61.8 🟡53.4     --    +3.2      ⚪      🟢
  FDUSDUSDT    🔴46.3 🔴43.9 🔴40.5 🟠41.9 🟠50.7 🔴48.3    -0.7      🔴      🔴
  FETUSDT      🟡53.6 🔴45.3 🔴34.9 🔴32.3 🟠42.4 🔴43.5    -0.3      ⚪      🔴
  FFUSDT       🔴45.0 🔴42.3 🟠42.1 🟠46.0 🔴45.3 🔴34.9    -0.8      🔴      🔴
  FIDAUSDT     🟢61.1 🟡54.8 🟡49.2 🔴46.1 🟢50.7 🔴48.0    +1.5      ⚪      ⚪
  FILUSDT      🔴47.7 🔴45.2 🔴39.9 🟠39.7 🟢53.4 🟡49.9    +0.0      ⚪      ⚪
  FLOKIUSDT    🟢58.7 🟡54.2 🔴47.6 🟠48.4 🟢59.9 🔴47.2    +1.7      🟢      ⚪
  FLOWUSDT     🔴43.3 🔴41.3 🔴40.6 🟠41.2 🟢55.9 🟡48.3    +0.7      ⚪      ⚪
  FLUXUSDT     🔴31.9 🔴30.4 🔴34.8 🟠40.4 🟠50.6 🔴40.4    -1.2      🔴      🔴
  FOGOUSDT     🟢58.3 🟡52.7 🔴47.4 🟠44.9 🔴49.1 🔴37.7    +0.5      ⚪      ⚪
  FORMUSDT     🟡52.0 🔴46.1 🟠45.7 🟠49.9 🟢55.5 🔴48.0    +0.5      🟢      ⚪
  FRAXUSDT     🟢77.1 🟡58.1 🟡51.7 🟠49.5 🟢54.9 🔴37.4    +1.2      ⚪      ⚪
  FTTUSDT      🔴47.4 🟠48.2 🟠49.5 🟢50.7 🟡54.1 🔴43.3    +0.2      🟢      ⚪
  FUSDT        🟢66.0 🟡52.1 🔴42.0 🔴40.0 🟠51.2 🔴41.9    +0.5      ⚪      ⚪
  GALAUSDT     🔴40.4 🔴31.7 🔴22.9 🔴27.4 🟠42.3 🔴39.2    -0.8      ⚪      🔴
  GASUSDT      🟢57.5 🟡55.1 🟢52.9 🟢52.7 🟢57.1 🔴45.1    +2.5      ⚪      🟢
  GENIUSUSDT   🟠45.9 🔴49.1 🔴49.0 🔴48.8 🔴47.0 🔴40.1    -1.2      ⚪      🔴
  GIGGLEUSDT   🟢50.6 🟢51.1 🟢53.3 🟢59.5 🟢67.5 🟡51.3    +2.7      ⚪      🟢
  GLMRUSDT     🟡51.0 🟢51.2 🟢51.7 🟢54.6 🟢66.3 🟡64.9    +2.3      ⚪      🟢
  GLMUSDT      🟠42.8 🔴47.4 🔴44.8 🔴44.4 🟠49.8 🔴44.2    -0.7      ⚪      🔴
  GMTUSDT      🔴49.1 🔴44.8 🔴37.4 🟠42.0 🟢52.9 🔴46.2    +0.0      ⚪      ⚪
  GMXUSDT      🟠42.8 🔴45.8 🔴43.5 🟠43.2 🟢54.9 🟡52.7    +0.5      ⚪      ⚪
  GNOUSDT      🟢52.2 🟡52.2 🟢51.1 🟢51.8 🟡50.8 🟡49.3    +2.8      🔴      🟢
  GNSUSDT      🔴49.5 🔴40.1 🔴37.4 🟠40.1 🟢60.8 🟢66.2    +0.0      🔴      ⚪
  GPSUSDT      🟢53.1 🟢53.9 🟡52.0 🔴48.2 🟠47.9 🟢56.4    +2.0      🟢      🟢
  GRAMUSDT     🟠50.3 🟡51.9 🟠49.1 🟠50.7     --     --    +0.5      ⚪      ⚪
  GRTUSDT      🔴42.1 🔴39.1 🔴33.0 🟠33.5 🟠49.9 🔴41.8    -1.5      🟢      🔴
  GTCUSDT      🟡60.0 🟡51.4 🔴48.1 🔴46.3 🟢52.1 🟡48.4    +1.5      ⚪      ⚪
  GUNUSDT      🟢60.0 🟡54.5 🟢51.1 🟢50.9 🟡54.3 🔴29.4    +2.8      ⚪      🟢
  GUSDT        🟢62.2 🟡64.3 🟡60.4 🟢56.2 🟢52.7 🟡55.3    +3.0      ⚪      🟢
  HAEDALUSDT   🔴47.7 🔴44.4 🟠47.6 🟠51.3 🟢57.6 🔴43.8    +0.0      ⚪      ⚪
  HBARUSDT     🟡54.4 🔴47.8 🟠48.1 🟢52.6 🟢57.9 🔴46.4    +1.3      ⚪      ⚪
  HEIUSDT      🟡57.7 🔴48.1 🟠47.8 🟠51.1 🟡49.5 🟢52.4    +1.0      🟢      ⚪
  HEMIUSDT     🟢58.7 🟡59.6 🟡54.1 🟡48.4 🟠49.6 🔴42.5    +1.7      ⚪      ⚪
  HFTUSDT      🔴39.1 🔴39.3 🔴36.3 🟠39.5 🟠50.1 🔴45.6    -1.7      🔴      🔴
  HIVEUSDT     🔴50.0 🔴45.1 🔴41.1 🟠40.0 🟠48.1 🔴48.5    -0.3      🔴      🔴
  HMSTRUSDT    🟡64.0 🟡53.9 🟡49.2 🟠50.4 🟢61.5 🟢72.9    +1.5      ⚪      ⚪
  HOLOUSDT     🔴42.3 🟠47.6 🟠50.5 🟢52.7 🟢60.0 🟢57.9    +1.7      ⚪      ⚪
  HOMEUSDT     🟢68.5 🟡59.9 🟡53.1 🟡48.7 🔴44.4 🔴36.8    +1.5      ⚪      ⚪
  HOTUSDT      🟠46.0 🟢52.6 🟢55.5 🟢58.2 🟢71.6 🟡64.5    +2.3      🟢      🟢
  HUMAUSDT     🟡59.0 🟡52.1 🟡51.6 🟢51.0 🟡52.1 🟠48.7    +2.5      ⚪      🟢
  HYPERUSDT    🔴45.0 🔴43.5 🔴38.1 🔴33.9 🔴37.2 🔴44.6    -1.5      ⚪      🔴
  ICPUSDT      🟢54.5 🟡51.2 🔴46.8 🟠45.7 🟢52.0 🔴45.6    +1.3      ⚪      ⚪
  ICXUSDT      🟡57.0 🟡48.3 🔴43.9 🟠43.6 🟢53.8 🔴38.1    +0.7      ⚪      ⚪
  IDUSDT       🟢53.5 🟢52.5 🟢54.3 🟢56.2 🟢57.9 🟢55.0    +3.0      ⚪      🟢
  ILVUSDT      🔴47.9 🔴44.8 🔴41.3 🟠44.0 🟢57.7 🟡47.0    +0.3      🟢      ⚪
  IMXUSDT      🔴49.1 🔴43.8 🟠41.8 🟠49.9 🟢65.2 🟡50.1    +0.7      🔴      ⚪
  INITUSDT     🟡52.6 🔴44.5 🔴36.7 🔴37.4 🟠49.6 🔴47.1    -0.3      ⚪      🔴
  INJUSDT      🔴47.5 🔴44.4 🔴38.8 🔴39.4 🟠47.5 🔴46.5    -1.5      ⚪      🔴
  INTCBUSDT    🔴46.5 🟠47.5 🟠48.2 🟡51.2 🔴44.6     --    -0.2      🟢      🔴
  IOSTUSDT     🟡62.1 🟡49.4 🔴43.7 🟠45.0 🟢51.6 🔴37.6    +0.5      🔴      ⚪
  IOTAUSDT     🔴47.1 🔴39.1 🔴36.8 🔴37.8 🟠47.8 🔴37.3    -1.5      ⚪      🔴
  IOTXUSDT     🔴42.3 🔴33.1 🔴34.9 🟠39.5 🟢52.6 🔴41.1    -0.3      🔴      🔴
  IOUSDT       🟢72.7 🟡69.9 🟡60.5 🟡54.1 🟢53.7 🟢51.5    +2.0      🟢      🟢
  IQUSDT       🟢52.8 🟢55.5 🟢57.6 🟢59.0 🟢70.3 🟡46.9    +3.0      🔴      🟢
  JASMYUSDT    🔴42.3 🟠48.3 🟠49.9 🟢51.2 🟢57.0 🔴47.9    +1.0      ⚪      ⚪
  JOEUSDT      🟢64.9 🟡55.8 🟡48.8 🟠45.8 🟢52.3 🔴45.3    +1.7      🔴      ⚪
  JSTUSDT      🟢70.8 🟢78.8 🟢80.4 🟢77.4 🟢72.1 🟢66.9    +1.0      🔴      ⚪
  JTOUSDT      🔴37.1 🔴41.0 🔴43.1 🔴42.9 🔴43.1 🟢53.9    -1.2      🟢      🔴
  JUPUSDT      🟠50.2 🟢54.1 🟡54.2 🟡52.7 🟢54.1 🟢61.9    +2.3      ⚪      🟢
  JUVUSDT      🟢52.4 🟢56.7 🟢56.4 🟢55.9 🟡54.4 🔴41.2    +2.8      ⚪      🟢
  KAIAUSDT     🟢51.6 🟡52.0 🟡50.3 🔴48.4 🟢51.2 🔴41.8    +1.3      ⚪      ⚪
  KAITOUSDT    🟠44.5 🟠47.9 🟠48.5 🟠49.7 🟢54.2 🟢62.9    +0.8      ⚪      ⚪
  KATUSDT      🔴44.2 🔴41.2 🔴39.4 🟠40.5 🟠50.6 🔴39.4    -1.3      ⚪      🔴
  KAVAUSDT     🟢52.2 🟢55.1 🟢53.5 🟢54.2 🟢63.0 🟡47.5    +2.7      🟢      🟢
  KERNELUSDT   🟡58.7 🟡47.4 🔴41.9 🔴39.6 🟠48.5 🔴36.5    +0.2      ⚪      ⚪
  KGSTUSDT     🔴45.6 🔴44.3 🔴46.0 🔴47.0 🟠46.8 🟢54.2    -1.2      ⚪      🔴
  KITEUSDT     🟢59.8 🟢69.0 🟢72.7 🟢72.1 🟡62.4 🔴35.3    +1.3      ⚪      ⚪
  KMNOUSDT     🟠49.4 🟢50.5 🟢52.0 🟢52.7 🟢52.4 🟢54.6    +2.5      ⚪      🟢
